成交日期,成交时间,证券代码,证券名称,操作,成交数量,成交编号,成交均价,成交金额,余额,发生金额,手续费,印花税,其他杂费,本次金额,合同编号,市场名称,交易市场,
20260317,14:04:44,920050,爱舍伦,买入,100,01270650,37.010,3701.000,100.00,-3701.630,0.590,0.000,0.040,72183.320,15956,三板A/京A,三板A/京A,
20260317,13:26:50,300085,银之杰,卖出,-100,0104000049082678,43.000,4300.000,0.00,4292.850,5.000,2.150,0.000,75884.950,15660,深圳Ａ股,深圳Ａ股,
20260317,11:00:16,300738,奥飞数据,买入,200,0102000040558044,22.920,4584.000,200.00,-4589.000,5.000,0.000,0.000,71592.100,12011,深圳Ａ股,深圳Ａ股,
20260317,09:46:03,688166,博瑞医药,卖出,-200,13099059,48.960,9792.000,200.00,9782.000,5.000,4.900,0.100,76181.100,5460,上海Ａ股,上海Ａ股,
20260316,13:29:55,600775,南京熊猫,卖出,-300,52125533,16.420,4926.000,0.00,4918.490,5.000,2.460,0.050,66399.100,17462,上海Ａ股,上海Ａ股,
20260316,10:47:36,002632,道明光学,卖出,-200,0103000041737545,14.050,2810.000,0.00,2803.590,5.000,1.410,0.000,61480.610,12966,深圳Ａ股,深圳Ａ股,
20260316,09:25:00,300085,银之杰,买入,100,0103000000885307,39.350,3935.000,100.00,-3940.000,5.000,0.000,0.000,58677.020,146,深圳Ａ股,深圳Ａ股,
20260313,09:43:16,002394,联发股份,卖出,-300,0103000014455895,16.950,5085.000,0.00,5077.460,5.000,2.540,0.000,62617.020,5448,深圳Ａ股,深圳Ａ股,
20260312,09:58:19,600775,南京熊猫,买入,300,19308606,15.710,4713.000,300.00,-4718.050,5.000,0.000,0.050,57539.560,7856,上海Ａ股,上海Ａ股,
20260311,14:47:09,002632,道明光学,买入,200,0104000074666144,13.790,2758.000,200.00,-2763.000,5.000,0.000,0.000,62257.610,22597,深圳Ａ股,深圳Ａ股,
20260310,11:03:10,603331,百达精工,买入,300,38713471,16.990,5097.000,300.00,-5102.050,5.000,0.000,0.050,45020.610,13972,上海Ａ股,上海Ａ股,
20260310,09:42:37,000035,中国天楹,卖出,-500,0103000015118852,8.060,4030.000,0.00,4022.980,5.000,2.020,0.000,50122.660,5740,深圳Ａ股,深圳Ａ股,
20260310,09:40:37,003007,直真科技,卖出,-200,0102000014105972,47.370,9474.000,0.00,9464.260,5.000,4.740,0.000,46099.680,5269,深圳Ａ股,深圳Ａ股,
20260309,09:32:52,000035,中国天楹,买入,500,0105000007731450,7.860,3930.000,500.00,-3935.000,5.000,0.000,0.000,36635.420,2977,深圳Ａ股,深圳Ａ股,
20260306,09:36:05,002317,众生药业,买入,400,0103000008246995,17.710,7084.000,800.00,-7089.000,5.000,0.000,0.000,40570.420,3206,深圳Ａ股,深圳Ａ股,
20260305,09:32:05,002394,联发股份,买入,300,0102000005296758,15.720,4716.000,300.00,-4721.000,5.000,0.000,0.000,47659.420,2364,深圳Ａ股,深圳Ａ股,
